Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
1	https://www.kingpower.com/category/beauty/makeup/face?recordsPerPage=60	kingpower	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	1	US	n/a	Mobile	COTY TRAP	n/a	Beauty	Makeup	Face	LVMH	3-Jan-22	Final	Daily	Kingpower	n/a	n/a	Kingpower	0
2	https://www.kingpower.com/category/beauty/makeup/eyes?recordsPerPage=60	kingpower	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	2	US	n/a	Mobile	COTY TRAP	n/a	Beauty	Makeup	Eyes	LVMH	3-Jan-22	Final	Daily	Kingpower	n/a	n/a	Kingpower	0
3	https://www.kingpower.com/category/beauty/makeup/lips?recordsPerPage=60	kingpower	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	3	US	n/a	Mobile	COTY TRAP	n/a	Beauty	Makeup	Lips	LVMH	3-Jan-22	Final	Daily	Kingpower	n/a	n/a	Kingpower	0
4	https://www.kingpower.com/category/beauty/perfumes?genders=women&recordsPerPage=60	kingpower	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	4	US	n/a	Mobile	COTY TRAP	n/a	Beauty	Perfumes & Fragrances	For Her	LVMH	3-Jan-22	Final	Daily	Kingpower	n/a	n/a	Kingpower	0
5	https://www.kingpower.com/category/beauty/perfumes?genders=men&recordsPerPage=60	kingpower	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	5	US	n/a	Mobile	COTY TRAP	n/a	Beauty	Perfumes & Fragrances	For Him	LVMH	3-Jan-22	Final	Daily	Kingpower	n/a	n/a	Kingpower	0
6	https://www.kingpower.com/category/beauty/perfumes/perfume-set?recordsPerPage=60	kingpower	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	6	US	n/a	Mobile	COTY TRAP	n/a	Beauty	Perfumes & Fragrances	Perfume Set	LVMH	3-Jan-22	Final	Daily	Kingpower	n/a	n/a	Kingpower	0
1	https://eng.lottedfs.com/kr/display/category/third?dispShopNo1=10031763&dispShopNo2=10031843&dispShopNo3=10032269&treDpth=3	lottedfs	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	1	KR	n/a	Mobile	COTY TRAP	n/a	Skincare	Face,Eye/Neck Care	Mists	Project1	05-Feb-18	Final	Daily	Lotte	n/a	n/a	Lotte	0
2	https://eng.lottedfs.com/kr/display/category/third?dispShopNo1=10031769&dispShopNo2=10031879&dispShopNo3=10032503&treDpth=3	lottedfs	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	2	KR	n/a	Mobile	COTY TRAP	n/a	Makeup	Face	Foundation	Project1	05-Feb-18	Final	Daily	Lotte	n/a	n/a	Lotte	0
3	https://eng.lottedfs.com/kr/display/category/third?dispShopNo1=10031769&dispShopNo2=10031879&dispShopNo3=10032515&treDpth=3	lottedfs	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	3	KR	n/a	Mobile	COTY TRAP	n/a	Makeup	Face	Cushion Compact Foundation	Project1	05-Feb-18	Final	Daily	Lotte	n/a	n/a	Lotte	0
4	https://eng.lottedfs.com/kr/display/category/third?dispShopNo1=10031769&dispShopNo2=10031879&dispShopNo3=10032539&treDpth=3	lottedfs	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	4	KR	n/a	Mobile	COTY TRAP	n/a	Makeup	Face	Blush, Contour/Highlighter	Project1	05-Feb-18	Final	Daily	Lotte	n/a	n/a	Lotte	0
5	https://eng.lottedfs.com/kr/display/category/third?dispShopNo1=10031769&dispShopNo2=10031885&dispShopNo3=10032551&treDpth=3	lottedfs	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	5	KR	n/a	Mobile	COTY TRAP	n/a	Makeup	Eye	Eyeshadow	Project1	05-Feb-18	Final	Daily	Lotte	n/a	n/a	Lotte	0
6	https://eng.lottedfs.com/kr/display/category/third?dispShopNo1=10031769&dispShopNo2=10031885&dispShopNo3=10032569&treDpth=3	lottedfs	get	product_listing	product_listing	SELENIUM	FALSE	TRUE	6	KR	n/a	Mobile	COTY TRAP	n/a	Makeup	Eye	Mascara	Project1	05-Feb-18	Final	Daily	Lotte	n/a	n/a	Lotte	0
