Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
229	https://www.bloomingdales.com/shop/womens-apparel/coats-jackets?id=1001520								229		n/a	Mobile	Micheal Kors POC	n/a	Women's	Clothing	Coats & Jackets		US	Bloomingdales			n/a	n/a		
230	https://www.bloomingdales.com/shop/handbags/womens-handbags-purses?id=17316								230		n/a	Mobile	Micheal Kors POC	n/a	Women's	Handbags	Handbags		US	Bloomingdales			n/a	n/a		
231	https://www.bloomingdales.com/shop/jewelry-accessories/designer-sunglasses/Gender/Women?id=4520								231		n/a	Mobile	Micheal Kors POC	n/a	Women's	Accessories	Sunglasses		US	Bloomingdales			n/a	n/a		
232	https://www.bloomingdales.com/shop/womens-designer-shoes/all-fashion-shoes?id=17411#canvas								232		n/a	Mobile	Micheal Kors POC	n/a	Women's	Shoes	Shoes		US	Bloomingdales			n/a	n/a		
233	https://www.bloomingdales.com/shop/mens/coats-jackets?id=11548								233		n/a	Mobile	Micheal Kors POC	n/a	Men's	Clothing	Coats & Jackets		US	Bloomingdales			n/a	n/a		
234	https://www.bloomingdales.com/shop/jewelry-accessories/mens-watches?id=1230059								234		n/a	Mobile	Micheal Kors POC	n/a	Men's	Accessories	Watches		US	Bloomingdales			n/a	n/a		
235	https://www.bloomingdales.com/shop/makeup-perfume-beauty/fragrance/Gender/Men?id=14716								235		n/a	Mobile	Micheal Kors POC	n/a	Men's	Fragrance	Fragrance		US	Bloomingdales			n/a	n/a		
236	https://www.bloomingdales.com/shop/featured/crossbody-bag?ss=true								236		crossbody bag	Mobile	Micheal Kors POC	n/a	Women's	Handbags	n/a		US	Bloomingdales			n/a	n/a		
237	https://www.bloomingdales.com/shop/featured/shoulder-bag?ss=true								237		shoulder bag	Mobile	Micheal Kors POC	n/a	Women's	Handbags	n/a		US	Bloomingdales			n/a	n/a		
238	https://www.bloomingdales.com/shop/featured/women%27s-puffer-jacket?ss=true								238		women's puffer jacket	Mobile	Micheal Kors POC	n/a	Women's	Clothing	n/a		US	Bloomingdales			n/a	n/a		
239	https://www.bloomingdales.com/shop/featured/women%27s-coat?ss=true								239		women's coat	Mobile	Micheal Kors POC	n/a	Women's	Clothing	n/a		US	Bloomingdales			n/a	n/a		
240	https://www.bloomingdales.com/shop/featured/women%27s-sunglasses?ss=true								240		women's sunglasses	Mobile	Micheal Kors POC	n/a	Women's	Accessories	n/a		US	Bloomingdales			n/a	n/a		
241	https://www.bloomingdales.com/shop/featured/women%27s-shoes?ss=true								241		women's shoes	Mobile	Micheal Kors POC	n/a	Women's	Shoes	n/a		US	Bloomingdales			n/a	n/a		
242	https://www.bloomingdales.com/shop/featured/men%27s-coat?ss=true								242		men's coat	Mobile	Micheal Kors POC	n/a	Men's	Clothing	n/a		US	Bloomingdales			n/a	n/a		
243	https://www.bloomingdales.com/shop/featured/men%27s-puffer-jacket?ss=true								243		men's puffer jacket	Mobile	Micheal Kors POC	n/a	Men's	Clothing	n/a		US	Bloomingdales			n/a	n/a		
244	https://www.bloomingdales.com/shop/featured/men%27s-fragrance?ss=true								244		men's fragrance	Mobile	Micheal Kors POC	n/a	Men's	Fragrance	n/a		US	Bloomingdales			n/a	n/a		
245	https://www.bloomingdales.com/shop/featured/mens-chronograph-watches?ss=true								245		mens chronograph watches	Mobile	Micheal Kors POC	n/a	Men's	Watches	n/a		US	Bloomingdales			n/a	n/a		
246	https://www.bloomingdales.com/shop/featured/men%27s-watches?ss=true								246		men's watches	Mobile	Micheal Kors POC	n/a	Men's	Watches	n/a		US	Bloomingdales			n/a	n/a		
