rname,scope,country
Sephora,PCD_France,France
Douglas IT,ADP,Italy
Sephora FR,ADP,France
Ounass AE,ADP,UAE
Nordstrom,MFK,United States
John Lewis,MFK,United Kingdom
Costco,INTEL,US
Notino_DE,COTY_EDM_Prestige,Germany
Notino_CZ,COTY_EDM_Prestige,Czech Republic
KICKS_SE,COTY_EDM_Prestige,Sweden
Notino_DK,COTY_EDM_Consumer Beauty,Denmark
Dm_HR,COTY_EDM_Consumer Beauty,Croatia
John Lewis Lux,COTY_UK_Prestige,UK
Very CB,COTY_UK_Consumer Beauty,UK
Dm,COTY_DACH_Consumer Beauty,Germany
Amazon DE CB,COTY_DACH_Consumer Beauty,Germany
Amazon Lux,COTY,US
Saks,COTY,US
Amazon CB,COTY_US_Consumer Beauty,US
ASOS,COTY_US_Consumer Beauty,US
Primor CB,COTY_Spain_Consumer Beauty,Spain
Target,Grocery_POC_US_Coffee_Creamers,US
Walmart,Grocery_POC_US_Vodka,US
Douglas NL,COTY_Benelux_Prestige,Netherlands
Wehkamp Lux,COTY_Benelux_Prestige,Netherlands
El Nino DE EMEA Lux,COTY_EMEA_Prestige,Germany
Notino UK EMEA Lux,COTY_EMEA_Prestige,UK
Bol NL EMEA Lux,COTY_EMEA_Prestige,Netherlands
El Nino PL EMEA Lux,COTY_EMEA_Prestige,Poland
Target,Grocery_POC_US_Aerated_Beverages,US
Sephora_IN,COTY_SEA_Prestige,India
Amazon SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Takealot,COTY_South Africa_Prestige,South Africa
Woolworths,COTY_South Africa_Prestige,South Africa
Edgars,COTY_South Africa_Prestige,South Africa
Douglas IT EMEA CB,COTY_EMEA_Consumer Beauty,Italy
Rossmann PL EMEA CB,COTY_EMEA_Consumer Beauty,Poland
Amazon IT Lux,COTY_Italy_Prestige,Italy
Noon SA CB,COTY_Middle East_Consumer Beauty,Saudi Arabia
Amazon Fresh,Grocery_POC_US_Energy_Bars,US
Amazon,Grocery_POC_US_Toilet_Paper,US
Sephora_ES,PCD_ES,Spain
Breuninger,MFK,Germany
Breuninger,Hermes_Europe,Germany
Parfym_SE,COTY_EDM_Prestige,Sweden
Notino_SE,COTY_EDM_Consumer Beauty,Sweden
Matas_DK,COTY_EDM_Consumer Beauty,Denmark
Boots Lux,COTY_UK_Prestige,UK
Amazon Fresh,Grocery_POC_US_Coffee_Creamers,US
Douglas ES EMEA Lux,COTY_EMEA_Prestige,Spain
LookFantastic UK EMEA Lux,COTY_EMEA_Prestige,UK
Amazon ES EMEA Lux,COTY_EMEA_Prestige,Spain
Kroger,Grocery_POC_US_Beer,US
Walmart,Grocery_POC_US_Beer,US
Rouge,COTY_Argentina_Prestige,Argentina
Rive Gauche,LFB_Givenchy_Kenzo,Russia
Kruidvat,COTY_Benelux_Consumer Beauty,Netherlands
Kingpower,COTY_TRAP_Prestige,Thailand
Takealot_CB,COTY_South Africa_Consumer Beauty,South Africa
Douglas DE EMEA CB,COTY_EMEA_Consumer Beauty,Germany
Douglas IT,COTY_Italy_Prestige,Italy
Echarme Lux,COTY_Italy_Prestige,Italy
Amazon AU CB,COTY_Australia_Consumer Beauty,Australia
Pharmaprix FR CB,COTY_Canada_Consumer Beauty,Canada
Notino_RO,PCD_RO,Romania
Tmall_CB,COTY_China_Consumer Beauty,China
Douglas_ES,PCD_ES,Spain
Galleria,MFK,Korea
Beymen,MFK,Turkey
Notino_CZ,PCD_CZ,Czech Republic
Douglas_PL,PCD_PL,Poland
Cult Beauty,Hermes_Europe,United Kingdom
Nocibe,Hermes_Europe,France
Notino ES EMEA Lux,COTY_EMEA_Prestige,Spain
Amazon IT EMEA CB,COTY_EMEA_Consumer Beauty,Italy
My Origines FR EMEA CB,COTY_EMEA_Consumer Beauty,France
Incenza,Hermes_Europe,France
Sephora,MUFE,France
John Lewis,LFB_Givenchy_Kenzo,UK
Sephora_US,LFB_Givenchy_Kenzo,US
Douglas DE,ADP,Germany
Space NK,ADP,United Kingdom
Galeries Lafayette,MFK,France
Best Buy,INTEL,US
HP,INTEL,US
