url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	variation_flag	region_input	mainurl	cookieParam	cookie_input	cookieparameter	scope_name	base_id	color	variation_1	variation_2	variation_3	Status	Frequency	Channel	domain_input	Top_Category	Input_Category	Sub_category	Brand	normalizedpname	top_sku	brand_Input	brand_group	sku_type	buffer_column_1	buffer_column_2	buffer_column_3	buffer_column_4	buffer_column_5	Retailer	Project	Batch	SubBatch	replication	Scrape_Frequency	Partner_Name	site_name	Universe	Category	Product_Name	Product_Model	Cadence	Partner_ID	Keyword_ID	Detailed_Partner_ID
https://www.lookfantastic.com/benefit-roller-lash-curling-and-lifting-mascara-mini/11436284.html#id=34#id=1	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	1	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC104	n/a	n/a	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Mascara	Benefit Cosmetics	Roller Lash Curling Mascara Mini_Black	Yes	Benefit Cosmetics	Benefit	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC104	lookfantastic_uk
https://www.lookfantastic.com/benefit-roller-lash-lifting-and-curling-mascara-black-8.5g/11068092.html#id=1440#id=4	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	4	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC103	n/a	n/a	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Mascara	Benefit Cosmetics	Roller Lash Curling Mascara_Black	Yes	Benefit Cosmetics	Benefit	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC103	lookfantastic_uk
https://www.lookfantastic.com/benefit-roller-liner-various-shades/11984865.html#id=1441#id=5	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	5	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC105	n/a	Black	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Eye Liner	Benefit Cosmetics	Roller Liner_Black	No	Benefit Cosmetics	Benefit	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC105	lookfantastic_uk
https://www.lookfantastic.com/anastasia-beverly-hills-brow-wiz-0.08g-various-shades/12275825.html?variation=11286144#id=1445	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	9	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC109	n/a	Medium Brown	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Brow	Anastasia Cosmetics	Brow Wiz_Medium Brown	No	Anastasia Cosmetics	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC109	lookfantastic_uk
https://www.lookfantastic.com/bobbi-brown-highlighting-powder-various-shades/11519320.html?settingsSaved=Y&shippingcountry=GB&switchcurrency=GBP&variation=11792386#id=1454	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	15	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC132	n/a	Sunset Glow	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Cheek	Highlighter	Bobbi Brown	Highlighting Powder_Sunset Glow	No	Bobbi Brown	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC132	lookfantastic_uk
https://www.lookfantastic.com/bobbi-brown-pot-rouge-for-lips-and-cheeks-3.7g-various-shades/11519347.html?settingsSaved=Y&shippingcountry=GB&switchcurrency=GBP&variation=11511983#id=1455	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	16	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC133	n/a	n/a	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Cheek	Blush	Bobbi Brown	Pot Rouge For Lips And Cheeks_Blushed Rose	No	Bobbi Brown	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC133	lookfantastic_uk
https://www.lookfantastic.com/bobbi-brown-shimmer-brick-compact-bronze/11512053.html?settingsSaved=Y&shippingcountry=GB&switchcurrency=GBP#id=1456	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	17	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC134	n/a	n/a	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Cheek	Highlighter	Bobbi Brown	Shimmer Brick Compact_Bronze	No	Bobbi Brown	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC134	lookfantastic_uk
https://www.lookfantastic.com/p/clinique-high-impact-mascara-black/11143982/?srsltid=AfmBOopDLmns1mTCIsRLJR4VTguanc9rRwjiSz9p0A-Y4GoxazHsiAhW	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	22	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC178	n/a	Black	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Mascara	Clinique	High Impact Mascara_Black	No	Clinique	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC178	lookfantastic_uk
https://www.lookfantastic.com/clinique-lash-power-mascara-black-6ml/11762527.html?settingsSaved=Y&shippingcountry=GB&switchcurrency=GBP#id=1466	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	23	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC179	n/a	n/a	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Mascara	Clinique	Lash Power Mascara Long-Wearing Formula_Black Onyx	No	Clinique	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC179	lookfantastic_uk
https://www.lookfantastic.com/estee-lauder-the-brow-multi-tasker-taupe/11730261.html#id=1471	lookfantastic	get	product_page	product_page,variation	HTTPCLIENT	FALSE	TRUE	27	input_flag	UK	n/a	n/a	n/a	n/a	BNC	BNC207	n/a	n/a	n/a	n/a	n/a	n/a	n/a	lookfantastic_uk	Make Up	Eye	Brow	Estee Lauder	The Brow Multi-Tasker_07 Taupe	No	Estee Lauder	Competitors	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Yes	Daily	lookfantastic_uk	lookfantastic_uk	n/a	n/a	n/a	n/a	n/a	BNC	BNC207	lookfantastic_uk
