rname,scope,country
Notino_CZ,PCD_CZ,Czech Republic
Golden Apple,LFB_Givenchy_Kenzo,Russia
Sephora FR,ADP,France
Flaconi,ADP,Germany
Sephora CA,Fresh Cosmetics,Canada
Sephora ES,Fresh Cosmetics,Spain
Mecca,MFK,Australia
Flaconi,MFK,Germany
Olive Young,BNC,Korea
Sephora Saudi Arabia,BNC,Middle East
Sephora,BNC,Mexico
Namshi Saudi Arabia,BNC,Middle East
ASOS,BNC,United Kingdom
Shinsegae,BNC,Korea
Lenovo,INTEL,US
Rossmann,COTY_DACH_Consumer Beauty,Germany
Amazon AU CB,COTY_Australia_Consumer Beauty,Australia
ASOS UK Lux,COTY_UK_Prestige,UK
Amazon UK Lux,COTY_UK_Prestige,UK
Walmart,Grocery_POC_US_Frozen_Foods,US
Amazon Fresh,Grocery_POC_US_Energy_Bars,US
Target,Grocery_POC_US_Cheese,US
Walmart,Grocery_POC_US_Beer,US
Amazon Fresh,Grocery_POC_US_Aerated_Beverages,US
Walmart CA CB,COTY_Canada_Consumer Beauty,Canada
Namshi UAE Lux,COTY_Middle East_Prestige,United Arab Emirates
Ounass SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Takealot_CB,COTY_South Africa_Consumer Beauty,South Africa
Amazon UK CB,COTY_UK_Consumer Beauty,UK
KICKS_SE,COTY_EDM_Prestige,Sweden
Echarme Lux,COTY_Italy_Prestige,Italy
Etos Lux,COTY_Benelux_Prestige,Netherlands
Notino_PL,COTY_EDM_Consumer Beauty,Poland
LYKO_SE,COTY_EDM_Prestige,Sweden
Costco,Grocery_POC_US_Home_Appliances,US
Macys,Hermes_Americas,United States
Sephora,BNC,Russia
Sephora,BNC,UAE
Primor,PCD_ES,Spain
Nordstrom,COTY,US
The Perfume Shop Lux,COTY_UK_Prestige,UK
JD,COTY_China_Consumer Beauty,China
Albertsons,Grocery_POC_US_Coffee_Creamers,US
Walmart,Grocery_POC_US_Cheese,US
Amazon FR CB,COTY_France_Consumer Beauty,France
Elnino_DE,COTY_EDM_Prestige,Germany
Douglas_HU,COTY_EDM_Prestige,Hungary
Farmacity,COTY_Argentina_Consumer Beauty,Argentina
Amazon NL Lux,COTY_Benelux_Prestige,Netherlands
Elnino-parfum,COTY_EDM_Consumer Beauty,Poland
Notino FR Lux,COTY_France_Prestige,France
Boots,Hermes_Europe,United Kingdom
Douglas,BNC,Austria
Sephora FR Lux,COTY_France_Prestige,France
Tendance Parfums,Hermes_Europe,France
Debenhams,BNC,United Kingdom
Douglas_CZ,COTY_EDM_Prestige,Czech Republic
Lotte,MFK,Korea
Macys,MFK,United States
Beymen,MFK,Turkey
Macys,Shiseido_POC,US
Booking,DSA_UDX_POC,US
Kroger,Sargento_POC,US
Beauty Success,PCD_France,France
Sephora,PCD_France,France
Sephora,LFB_Givenchy_Kenzo,Germany
Boots,LFB_Givenchy_Kenzo,UK
John Lewis,LFB_Givenchy_Kenzo,UK
Sephora US,Fresh Cosmetics,United States
Sephora FR,Fresh Cosmetics,France
Nordstrom,Fresh Cosmetics,United States
Ounass,MFK,UAE
Bloomingdales,MFK,United States
Sephora,BNC,China
Sephora,BNC,Sweden
Sephora UAE,BNC,Middle East
Shinsegae Duty Free,BNC,Korea
Amazon,Grocery_POC_US_Aerated_Beverages,US
Douglas DE CB,COTY_DACH_Consumer Beauty,Germany
Flaconi DE Lux,COTY_DACH_Prestige,Germany
Douglas DE Lux,COTY_DACH_Prestige,Germany
Namshi UAE CB,COTY_Middle East_Consumer Beauty,United Arab Emirates
Saks,COTY,US
Ulta Lux,COTY,US
ASOS UK CB,COTY_UK_Consumer Beauty,UK
Namshi SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Amazon UAE Lux,COTY_Middle East_Prestige,United Arab Emirates
Ici Paris XL BE,COTY_Benelux_Prestige,Belgium
Ici Paris XL NL,COTY_Benelux_Prestige,Netherlands
Sephora_CZ,COTY_EDM_Prestige,Czech Republic
Douglas_PL,COTY_EDM_Prestige,Poland
Elnino_CZ,COTY_EDM_Prestige,Czech Republic
Notino_IT,COTY_EDM_Prestige,Italy
Sephora UK Lux,COTY_UK_Prestige,UK
Very Lux,COTY_UK_Prestige,UK
Walmart,Grocery_POC_US_Sparkling_Water,US
Target,Grocery_POC_US_Energy_Bars,US
Douglas ES Lux,COTY_Spain_Prestige,Spain
Myer,DSA_Converse_POC,Australia
Liverpool,COTY_Mexico_Prestige,Mexico
Notino FR CB,COTY_France_Consumer Beauty,France
Douglas NL CB,COTY_Benelux_Consumer Beauty,Netherlands
Etos,COTY_Benelux_Consumer Beauty,Netherlands
Sephora_ES,PCD_ES,Spain
Douglas_PL,PCD_PL,Poland
Noon SA CB,COTY_Middle East_Consumer Beauty,Saudi Arabia
El Corte Ingles CB,COTY_Spain_Consumer Beauty,Spain
Perfumes Club CB,COTY_Spain_Consumer Beauty,Spain
Makeup_PL,COTY_EDM_Prestige,Poland
The Fragrance Shop Lux,COTY_UK_Prestige,UK
HondosCenter,COTY_EDM_Consumer Beauty,Greece
Nykaa,COTY_SEA_Prestige,India
Dufry_SP_Lux,COTY_TREU_Prestige,Spain
Dufry_UK_Lux,COTY_TREU_Prestige,UK
Kakao Talk Gift,COTY_Korea_Prestige,Korea
Selfridges,Hermes_Europe,United Kingdom
Walmart,Immuno_Pharma_POC,US
Marionnaud,Hermes_Europe,France
Sephora US,ADP,United States
HondosCenter,COTY_EDM_Prestige,Greece
Croma,INTEL,India
Reliance Digital,INTEL,India
Galleria,MFK,Korea
Expedia,DSA_UDX_POC,US
Notino_DE,PCD_DE,Germany
Parfumdreams,LFB_Givenchy_Kenzo,Germany
Flaconi,LFB_Givenchy_Kenzo,Germany
Marionnaud,LFB_Givenchy_Kenzo,France
Look Fantastic,BNC,United Kingdom
Adore Beauty,BNC,Australia
Douglas,BNC,Germany
ULTA,BNC,United States
Sephora,BNC,Canada
Sephora,BNC,United States
Sephora,BNC,Brazil
Dell,INTEL,US
ASUS,INTEL,US
Sams Club,INTEL,US
Amazon,Grocery_POC_US_Frozen_Foods,US
Chemist Warehouse Lux,COTY_Australia_Prestige,Australia
Beleza Na Web,COTY_Brazil_Prestige,Brazil
Sephora BR,COTY_Brazil_Prestige,Brazil
Galeria,COTY_DACH_Prestige,Germany
Amazon SA CB,COTY_Middle East_Consumer Beauty,Saudi Arabia
Amazon Lux,COTY,US
April,COTY_Benelux_Prestige,Belgium
Amazon ES CB,COTY_Spain_Consumer Beauty,Spain
Notino_DE,COTY_EDM_Prestige,Germany
Sephora_PL,COTY_EDM_Prestige,Poland
Notino_PL,COTY_EDM_Prestige,Poland
Amazon CB,COTY_US_Consumer Beauty,US
Notino_DE,COTY_EDM_Consumer Beauty,Germany
Bilka,COTY_EDM_Consumer Beauty,Denmark
Notino_UK,COTY_EDM_Consumer Beauty,UK
Rouge,COTY_Argentina_Prestige,Argentina
Amazon IT CB,COTY_Italy_Consumer Beauty,Italy
Pinalli,COTY_Italy_Prestige,Italy
Sephora CA Lux,COTY_Canada_Prestige,Canada
My Origines FR Lux,COTY_France_Prestige,France
Niceone SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Notino_RO,PCD_RO,Romania
Douglas,Hermes_Europe,Italy
Primor,Hermes_Europe,Spain
La Baie FR Lux,COTY_Canada_Prestige,Canada
Rive Gauche,LFB_Givenchy_Kenzo,Russia
Selfridges,MFK,United Kingdom
Lotte Duty Free,BNC,Korea
Arenal CB,COTY_Spain_Consumer Beauty,Spain
Arenal Lux,COTY_Spain_Prestige,Spain
Gold Apple,MFK,Russia
Eva_UA,COTY_EDM_Consumer Beauty,Ukraine
Amazon,Grocery_POC_US_Toilet_Paper,US
Shinsegae,COTY_Korea_Prestige,Korea
Sephora IT,COTY_Italy_Prestige,Italy
Ditano,COTY_Italy_Prestige,Italy
Shoppers Drugmart EN Lux,COTY_Canada_Prestige,Canada
Nocibe FR CB,COTY_France_Consumer Beauty,France
Amazon,Grocery_POC_US_Home_Appliances,US
Cult Beauty,Hermes_Europe,United Kingdom
Amazon,Grocery_POC_US_Coffee_Creamers,US
Elnino_CZ,COTY_EDM_Consumer Beauty,Czech Republic
Albertsons,Sargento_POC,US
Flaconi,PCD_DE,Germany
Notino_FR,PCD_France,France
Fann,PCD_CZ,Czech Republic
Nordstrom,LFB_Givenchy_Kenzo,US
Macys,LFB_Givenchy_Kenzo,US
El Palacio de Hierro,PCD_MX,Mexico
Sephora DE,Fresh Cosmetics,Germany
next,BNC,United Kingdom
MYER,BNC,Australia
Acer,INTEL,US
JD Sports,DSA_Converse_POC,Australia
Amazon,DSA_Converse_POC,Mexico
Macys,COTY,US
Amazon DE CB,COTY_DACH_Consumer Beauty,Germany
LookFantastic UK Lux,COTY_UK_Prestige,UK
Amazon,Grocery_POC_US_Sparkling_Water,US
Walmart,Grocery_POC_US_Energy_Bars,US
Albertsons,Grocery_POC_US_Cheese,US
Amazon,Grocery_POC_US_Beer,US
Amazon SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Superdrug CB,COTY_UK_Consumer Beauty,UK
Myntra,COTY_SEA_Prestige,India
Druni CB,COTY_Spain_Consumer Beauty,Spain
Amazon IT Lux,COTY_Italy_Prestige,Italy
LYKO_SE,COTY_EDM_Consumer Beauty,Sweden
Sephora SA Lux,COTY_Middle East_Prestige,Saudi Arabia
My Origines,Hermes_Europe,France
Notino_GR,PCD_GR,Greece
Sephora,MUFE,France
Costco,INTEL,US
Noon UAE CB,COTY_Middle East_Consumer Beauty,United Arab Emirates
Perfumerias CB,COTY_Spain_Consumer Beauty,Spain
Shop Super-pharm,COTY_EDM_Consumer Beauty,Israel
Bol NL CB,COTY_Benelux_Consumer Beauty,Netherlands
Di,COTY_Benelux_Consumer Beauty,Belgium
Lotte,COTY_TRAP_Prestige,Korea
Noon UAE Lux,COTY_Middle East_Prestige,United Arab Emirates
Notino_IT,PCD_IT,Italy
Druni Lux,COTY_Spain_Prestige,Spain
Woolworths,COTY_South Africa_Prestige,South Africa
Sephora_ID,COTY_SEA_Prestige,Indonesia
Notino_PL,PCD_PL,Poland
Breuninger,Hermes_Europe,Germany
Brocard_UA,COTY_EDM_Prestige,Ukraine
Notino_UA,COTY_EDM_Prestige,Ukraine
Saks Fifth Avenue,Hermes_Americas,United States
Neiman Marcus,Hermes_Americas,United States
Nordstrom,Shiseido_POC,US
Meijer,Sargento_POC,US
Sephora_FR,LFB_Givenchy_Kenzo,France
Sephora_US,LFB_Givenchy_Kenzo,US
Ulta,LFB_Givenchy_Kenzo,US
Douglas IT,ADP,Italy
John Lewis,ADP,United Kingdom
Ulta,Fresh Cosmetics,United States
John Lewis,MFK,United Kingdom
Neiman Marcus,MFK,United States
Shinsegae (Domestic),MFK,Korea
Nose,MFK,France
Lotte,BNC,Korea
Sephora,BNC,Italy
Sephora,BNC,Spain
Sephora,BNC,Poland
Ounass AE,ADP,UAE
Parfumdreams,ADP,Germany
Harvey Nichols,MFK,United Kingdom
Kohls,COTY,US
Amazon AU Lux,COTY_Australia_Prestige,Australia
Chemist Warehouse CB,COTY_Australia_Consumer Beauty,Australia
Amazon UAE CB,COTY_Middle East_Consumer Beauty,United Arab Emirates
Target,Grocery_POC_US_Frozen_Foods,US
Kroger,Grocery_POC_US_Coffee_Creamers,US
Amazon CA CB,COTY_Canada_Consumer Beauty,Canada
Takealot,COTY_South Africa_Prestige,South Africa
Very CB,COTY_UK_Consumer Beauty,UK
Notino_CZ,COTY_EDM_Prestige,Czech Republic
Kroger,Grocery_POC_US_Toilet_Paper,US
Albertsons,Grocery_POC_US_Toilet_Paper,US
Notino_CZ,COTY_EDM_Consumer Beauty,Czech Republic
iShopchangi,COTY_TRAP_Prestige,Singapore
Douglas,Hermes_Europe,Germany
Sephora,Hermes_Europe,France
Notino,Hermes_Europe,Poland
Sephora_GR,PCD_GR,Greece
Feel Unique,BNC,United Kingdom
Sephora IT,ADP,Italy
Pinalli,ADP,Italy
Amazon,Immuno_Pharma_POC,US
Albertsons,Grocery_POC_US_Sparkling_Water,US
Target,Grocery_POC_US_Beer,US
Kroger,Grocery_POC_US_Beer,US
Albertsons,Grocery_POC_US_Aerated_Beverages,US
Sephora_IN,COTY_SEA_Prestige,India
Target,Grocery_POC_US_Vodka,US
Amazon,Grocery_POC_US_Vodka,US
Douglas IT,COTY_Italy_Prestige,Italy
Elnino_DE,COTY_EDM_Consumer Beauty,Germany
KICKS_SE,COTY_EDM_Consumer Beauty,Sweden
Amazon_PL,COTY_EDM_Consumer Beauty,Poland
Shilla,COTY_TRAP_Prestige,Korea
Amazon BR,COTY_Brazil_Prestige,Brazil
Foschini Lux,COTY_South Africa_Prestige,South Africa
Nocibe,Hermes_Europe,France
Douglas,Hermes_Europe,Netherlands
Parfumdreams,Hermes_Europe,Germany
Douglas_IT,PCD_IT,Italy
Sephora,BNC,Saudi Arabia
Druni,PCD_ES,Spain
Harrods,MFK,United Kingdom
Notino_FR,COTY_EDM_Prestige,France
Notino_RO,COTY_EDM_Prestige,Romania
Bloomingdales,Hermes_Americas,United States
Sephora,Shiseido_POC,US
Nocibe,PCD_France,France
Marionnaud,PCD_France,France
Douglas_CZ,PCD_CZ,Czech Republic
Nocibe,LFB_Givenchy_Kenzo,France
Douglas,LFB_Givenchy_Kenzo,Germany
Space NK,ADP,United Kingdom
Kohls Sephora,BNC,United States
Falabella,BNC,Chile
Sephora,BNC,Australia
Target Ulta,BNC,United States
Sephora,BNC,United Kingdom
Nordstrom,BNC,United States
John Lewis,BNC,United Kingdom
Selfridges,ADP,United Kingdom
Liverpool,DSA_Converse_POC,Mexico
Target Lux,COTY,US
Amazon DE Lux,COTY_DACH_Prestige,Germany
Selfridges Lux,COTY_UK_Prestige,UK
Tmall,COTY_China_Prestige,China
Kroger,Grocery_POC_US_Sparkling_Water,US
Albertsons,Grocery_POC_US_Frozen_Foods,US
Albertsons,Grocery_POC_US_Energy_Bars,US
Amazon Fresh,Grocery_POC_US_Coffee_Creamers,US
Amazon Fresh,Grocery_POC_US_Cheese,US
Target,Grocery_POC_US_Aerated_Beverages,US
Kroger,Grocery_POC_US_Aerated_Beverages,US
Ounass UAE Lux,COTY_Middle East_Prestige,United Arab Emirates
Parfumerie,COTY_Argentina_Prestige,Argentina
Beautye,COTY_Italy_Consumer Beauty,Italy
Boots CB,COTY_UK_Consumer Beauty,UK
Douglas NL,COTY_Benelux_Prestige,Netherlands
Target,Grocery_POC_US_Toilet_Paper,US
Makeup_UA,COTY_EDM_Consumer Beauty,Ukraine
Notino_FR,COTY_EDM_Consumer Beauty,France
Kingpower,COTY_TRAP_Prestige,Thailand
Falabella_PE,COTY_LATAM_Prestige,Peru
Falabella_CO,COTY_LATAM_Prestige,Colombia
Sephora UAE Lux,COTY_Middle East_Prestige,United Arab Emirates
Eveandboy,COTY_SEA_Prestige,Thailand
Flaconi,Hermes_Europe,Germany
Notino,Hermes_Europe,Italy
The Perfume Shop,LFB_Givenchy_Kenzo,UK
Saks Fifth Avenue,MFK,United States
Sephora,BNC,Singapore
Dillards,COTY,US
Qvc,COTY,US
Myer,COTY_Australia_Prestige,Australia
Amazon Fresh,Grocery_POC_US_Sparkling_Water,US
Amazon,Grocery_POC_US_Cheese,US
Perfumes Club Lux,COTY_Spain_Prestige,Spain
Central Online,COTY_SEA_Prestige,Thailand
Kroger,Grocery_POC_US_Vodka,US
Walmart,Grocery_POC_US_Toilet_Paper,US
Incenza,Hermes_Europe,France
Notino,Hermes_Europe,Czech Republic
Attica,PCD_GR,Greece
Sephora_RO,PCD_RO,Romania
Namshi,BNC,Saudi Arabia
Douglas_ES,PCD_ES,Spain
Amazon CA Lux,COTY_Canada_Prestige,Canada
Walmart,Grocery_POC_US_Coffee_Creamers,US
Makeup_DE,COTY_EDM_Prestige,Germany
Shop Super-pharm,COTY_EDM_Prestige,Israel
Ulta,Shiseido_POC,US
Origines,PCD_France,France
Sephora_CZ,PCD_CZ,Czech Republic
Sephora_RU,LFB_Givenchy_Kenzo,Russia
Escentials,MFK,Singapore
Sephora,MUFE,United States
Nykaa,BNC,India
Shoppers Drug Mart,BNC,Canada
HP,INTEL,US
Target,Immuno_Pharma_POC,US
ASOS,DSA_Ralph_Lauren_POC,UK
Bloomingdales,COTY,US
James Richardson,COTY_TREU_Prestige,Israel
Heinemann,COTY_TREU_Prestige,Germany
Pharmaprix FR Lux,COTY_Canada_Prestige,Canada
John Lewis Lux,COTY_UK_Prestige,UK
Superdrug Lux,COTY_UK_Prestige,UK
Fragrance Direct Lux,COTY_UK_Prestige,UK
El Palacio de Hierro,COTY_Mexico_Prestige,Mexico
Namshi SA CB,COTY_Middle East_Consumer Beauty,Saudi Arabia
Tmall_CB,COTY_China_Consumer Beauty,China
Target,Grocery_POC_US_Coffee_Creamers,US
Albertsons,Grocery_POC_US_Beer,US
Walmart,Grocery_POC_US_Aerated_Beverages,US
My Origines FR CB,COTY_France_Consumer Beauty,France
Perfumerias Lux,COTY_Spain_Prestige,Spain
Primor Lux,COTY_Spain_Prestige,Spain
El Corte Ingles Lux,COTY_Spain_Prestige,Spain
Amazon ES Lux,COTY_Spain_Prestige,Spain
CVS,COTY_US_Consumer Beauty,US
LookFantastic UK CB,COTY_UK_Consumer Beauty,UK
Sephora_SG,COTY_SEA_Prestige,Singapore
Parfym_SE,COTY_EDM_Prestige,Sweden
Bloomingdales,MFK,UAE
Matas_DK,COTY_EDM_Consumer Beauty,Denmark
Parfym_SE,COTY_EDM_Consumer Beauty,Sweden
Notino_IT,COTY_EDM_Consumer Beauty,Italy
Kruidvat,COTY_Benelux_Consumer Beauty,Netherlands
Amazon NL CB,COTY_Benelux_Consumer Beauty,Netherlands
Sensation,COTY_Italy_Prestige,Italy
Sephora_IT,PCD_IT,Italy
Sephora_PL,PCD_PL,Poland
Breuninger,MFK,Germany
John Lewis,DSA_Ralph_Lauren_POC,UK
The Bay EN Lux,COTY_Canada_Prestige,Canada
Kroger,Grocery_POC_US_Cheese,US
Pharmaprix FR CB,COTY_Canada_Consumer Beauty,Canada
Shoppers Drugmart EN CB,COTY_Canada_Consumer Beauty,Canada
Edgars,COTY_South Africa_Prestige,South Africa
Superbalist,COTY_South Africa_Prestige,South Africa
Faces SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Superbalist_CB,COTY_South Africa_Consumer Beauty,South Africa
Amazon_IN Lux,COTY_SEA_Prestige,India
Marionnaud IT,COTY_Italy_Prestige,Italy
Makeup_PL,COTY_EDM_Consumer Beauty,Poland
Sokos,COTY_EDM_Consumer Beauty,Finland
Makeup_DE,COTY_EDM_Consumer Beauty,Germany
