Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
1	n/a	farmacity_ar	get	product_listing	product_listing	PLAYWRIGHT	False	True	1	AR	n/a	n/a	COTY_Argentina_Consumer Beauty	n/a	n/a	n/a	n/a	COTY_Argentina_Consumer Beauty	Argentina	Farmacity	Daily	Farmacity	n/a	n/a	Farmacity	0
2	n/a	juleriaque_ar	get	product_listing	product_listing	PLAYWRIGHT	False	True	2	AR	n/a	n/a	COTY_Argentina_Prestige	n/a	n/a	n/a	n/a	COTY_Argentina_Prestige	Argentina	Juleriaque	Daily	Juleriaque	n/a	n/a	Juleriaque	0
3	n/a	Parfumerie	get	product_listing	product_listing	SELENIUM	False	True	3	AR	n/a	n/a	COTY_Argentina_Prestige	n/a	n/a	n/a	n/a	COTY_Argentina_Prestige	Argentina	Parfumerie	Daily	Parfumerie	n/a	n/a	Parfumerie	0
4	n/a	perfumeriasrouge_ar	get	product_listing	product_listing	PLAYWRIGHT	False	False	4	AR	n/a	n/a	COTY_Argentina_Prestige	n/a	n/a	n/a	n/a	COTY_Argentina_Prestige	Argentina	Rouge	Daily	Rouge	n/a	n/a	Rouge	0
5	n/a	amazon	get	product_listing	product_listing,product_page	PLAYWRIGHT	False	False	5	AU	n/a	n/a	COTY_Australia_Consumer Beauty	n/a	n/a	n/a	n/a	COTY_Australia_Consumer Beauty	Australia	Amazon AU CB	Daily	Amazon AU CB	n/a	n/a	Amazon AU CB	0
6	n/a	amazon	get	product_listing	product_listing,product_page	PLAYWRIGHT	False	False	6	AU	n/a	n/a	COTY_Australia_Prestige	n/a	n/a	n/a	n/a	COTY_Australia_Prestige	Australia	Amazon AU Lux	Daily	Amazon AU Lux	n/a	n/a	Amazon AU Lux	0
7	n/a	chemistwarehouse	get	product_listing	product_listing	SELENIUM	False	True	7	AU	n/a	n/a	COTY_Australia_Consumer Beauty	n/a	n/a	n/a	n/a	COTY_Australia_Consumer Beauty	Australia	Chemist Warehouse CB	Daily	Chemist Warehouse CB	n/a	n/a	Chemist Warehouse CB	0
8	n/a	chemistwarehouse	get	product_listing	product_listing	SELENIUM	False	True	8	AU	n/a	n/a	COTY_Australia_Prestige	n/a	n/a	n/a	n/a	COTY_Australia_Prestige	Australia	Chemist Warehouse Lux	Daily	Chemist Warehouse Lux	n/a	n/a	Chemist Warehouse Lux	0
9	n/a	davidjones_au	get	product_listing	product_listing	PLAYWRIGHT	False	True	9	AU	n/a	n/a	COTY_Australia_Prestige	n/a	n/a	n/a	n/a	COTY_Australia_Prestige	Australia	David Jones	Daily	David Jones	n/a	n/a	David Jones	0
10	n/a	mecca_au	get	product_listing	product_listing	PLAYWRIGHT	False	True	10	AU	n/a	n/a	MFK	n/a	n/a	n/a	n/a	MFK	Australia	M_Mecca	Daily	M_Mecca	n/a	n/a	M_Mecca	0
11	n/a	mecca_au	get	product_listing	product_listing	PLAYWRIGHT	False	True	11	AU	n/a	n/a	MFK	Mens fragrance	n/a	n/a	n/a	MFK	Australia	Mecca	Daily	Mecca	n/a	n/a	Mecca	0
12	n/a	m_myer_au	get	product_listing	product_listing	PLAYWRIGHT	False	True	12	AU	n/a	n/a	COTY_Australia_Prestige	n/a	n/a	n/a	n/a	COTY_Australia_Prestige	Australia	Myer	Daily	Myer	n/a	n/a	Myer	0
13	n/a	aprilbeauty_be	get	product_listing	product_listing	SELENIUM	False	True	13	BE	n/a	n/a	COTY_Benelux_Prestige	n/a	n/a	n/a	n/a	COTY_Benelux_Prestige	Belgium	April	Daily	April	n/a	n/a	April	0
14	n/a	di_be	get	product_listing	product_listing	SELENIUM	False	True	14	BE	n/a	n/a	CB	n/a	n/a	n/a	n/a	CB	Belgium	Di	Daily	Di	n/a	n/a	Di	0
15	n/a	di_be	get	product_listing	product_listing	SELENIUM	False	True	15	BE	n/a	n/a	COTY_Benelux_Consumer Beauty	n/a	n/a	n/a	n/a	COTY_Benelux_Consumer Beauty	Belgium	Di	Daily	Di	n/a	n/a	Di	0
16	n/a	m_iciparisxl_be	get	product_listing	product_listing	PLAYWRIGHT	False	False	16	BE	n/a	n/a	Hermes_Europe	n/a	n/a	n/a	n/a	Hermes_Europe	Belgium	ICI Paris XL	Daily	ICI Paris XL	n/a	n/a	ICI Paris XL	0
17	n/a	m_iciparisxl_be	get	product_listing	product_listing	PLAYWRIGHT	False	False	17	BE	n/a	n/a	COTY_Benelux_Prestige	n/a	n/a	n/a	n/a	COTY_Benelux_Prestige	Belgium	Ici Paris XL BE	Daily	Ici Paris XL BE	n/a	n/a	Ici Paris XL BE	0
18	n/a	m_iciparisxl_be	get	product_listing	product_listing	PLAYWRIGHT	False	False	18	BE	n/a	n/a	PCD_BE	n/a	n/a	n/a	n/a	PCD_BE	Belgium	Ici Paris XL_FR	Daily	Ici Paris XL_FR	n/a	n/a	Ici Paris XL_FR	0
